original_paragraph,transformed_paragraph,transformation_type,similarity_score,same_meaning
"The logistics provider scheduled the acquisition documents after careful review. The hotel manager redesigned a major report through an inclusive planning process, and A university research group assigned a seasonal menu to enhance public trust. The initiative delivered measurable benefits.","The hotel manager redesigned a major report through an inclusive planning process, and A university research group assigned a seasonal menu to enhance public trust. The initiative delivered measurable benefits. The logistics provider scheduled the acquisition documents after careful review.",sentence_reorder,0.275,True
"A university research group approved shipment routes to enhance public trust. The clinical team emphasized an application upgrade using local resources, and The training team redesigned a software update under tight deadlines. The results improved overall performance.","A university research group approved shipment routes to enhance public trust. The clinical team emphasized an application upgrade using local resources, and The training team redesigned a software update under tight deadlines. The results improved overall performance.",paragraph_pronoun_change,1.0,True
The legal team monitored electric vehicles using local resources. The operations staff reviewed a leadership seminar supported by cross-functional teams. The effort strengthened long-term relationships.,The legal team monitored electric vehicles using local resources. The operations staff reviewed a leadership seminar supported by cross-functional teams. The effort strengthened long-term relationships.,phrase_level_rewrite,1.0,True
"The The hotel manager assigned a fundraiser to improve customer satisfaction, and A university research group scheduled a fundraiser using local resources. Stakeholders praised the final delivery.","The The hotel manager assigned a fundraiser to improve customer satisfaction, and A university research group scheduled a fundraiser using local resources. Stakeholders praised the final delivery.",human_like_rewrite,1.0,True
The city council reviewed the regulatory submission through collaborative decision-making. The development team introduced a green space project with expert guidance. The final report received positive feedback.,The city council reviewed the regulatory submission through collaborative decision-making. The development team introduced a green space initiative with expert guidance. The final report received positive response.,formal_rewrite,0.922,True
The retail team monitored the publishing schedule with expert guidance. The training team released the publishing schedule through an inclusive planning process. This approach set a new standard.,The training team released the publishing schedule through an inclusive planning process. This approach set a new standard. The retail team monitored the publishing schedule with expert guidance.,sentence_reorder,0.631,True
The health clinic coordinated the acquisition documents with measurable performance goals. The development team scheduled an eco-friendly housing project after careful review. The results improved overall performance.,The health clinic coordinated the acquisition documents with measurable performance goals. The development team scheduled an eco-friendly housing project after careful review. The results improved overall performance.,paragraph_pronoun_change,1.0,True
A university research group monitored a seasonal menu through collaborative decision-making. The clinical team redesigned the power lines to improve operational efficiency. The implementation received widespread acclaim.,A university research group monitored a spring menu through collaborative decision-making. The clinical team redesigned the power lines to improve operational efficiency. The implementation received widespread acclaim.,phrase_level_rewrite,0.973,True
"During a community forum, The service crew optimized electric vehicles using data-driven analysis. The research team introduced a fundraiser with strong community support. The outcome exceeded expectations.","During a community forum, The service crew optimized electric vehicles using data-driven analysis. The research team introduced a fundraiser with strong community support. The outcome exceeded expectations.",human_like_rewrite,1.0,True
The automotive manufacturer coordinated the regulatory submission with measurable performance goals. The hotel manager introduced the acquisition documents while meeting compliance standards. The initiative delivered measurable benefits.,The automotive manufacturer coordinated the regulatory submission with measurable performance objectives. The hotel manager introduced the acquisition documents while meeting compliance standards. The initiative delivered measurable benefits.,formal_rewrite,0.434,True
"The facilities team presented the power lines after careful review. The publishing house emphasized the acquisition documents while preserving the budget, and The retail team prepared an application upgrade using data-driven analysis. The final report received positive feedback.","The publishing house emphasized the acquisition documents while preserving the budget, and The retail team prepared an application upgrade using data-driven analysis. The final report received positive feedback. The facilities team presented the power lines after careful review.",sentence_reorder,0.24,True
"The The health clinic reviewed the storefront layout to improve operational efficiency, and Our marketing department conducted the power lines with minimal disruption. The team achieved a strong outcome.","The The health clinic reviewed the storefront layout to improve operational efficiency, and their marketing department conducted the power lines with minimal disruption. The team achieved a strong outcome.",paragraph_pronoun_change,0.985,True
A university research group assigned a leadership seminar to improve operational efficiency. The logistics provider optimized a clinical trial with expert guidance. This approach set a new standard.,A university research group assigned a leadership seminar to improve operational efficiency. The logistics provider optimized a clinical trial with expert guidance. This approach set a new standard.,phrase_level_rewrite,1.0,True
"During the emergency meeting, The publishing house optimized a research study with reliable tracking systems. The training team released a clinical trial while preserving the budget. The results improved overall performance.","During the emergency meeting, The publishing house optimized a research study with reliable tracking systems. The training team released a clinical trial while preserving the budget. The results improved overall performance.",human_like_rewrite,1.0,True
"During a community forum, The service crew prepared a clinical trial to enhance public trust. A university research group optimized a software update to improve customer satisfaction. The final report received positive feedback.","During a community forum, The service crew prepared a clinical trial to enhance public trust. A university research group optimized a software update to improve customer satisfaction. The final report received positive response.",formal_rewrite,0.965,True
"The The bank monitored a new campaign after careful review, and The logistics provider maintained a fundraiser with an expanded support network. The results improved overall performance.","The results improved overall performance. The The bank monitored a new campaign after careful review, and The logistics provider maintained a fundraiser with an expanded support network.",sentence_reorder,0.774,True
"The The nonprofit monitored the publishing schedule with reliable tracking systems, and The health clinic launched a wellness program with minimal disruption. The implementation received widespread acclaim.","The The nonprofit monitored the publishing schedule with reliable tracking systems, and The health clinic launched a wellness program with minimal disruption. The implementation received widespread acclaim.",paragraph_pronoun_change,1.0,True
"The The editorial board introduced electric vehicles with strong community support, and The outreach team introduced electric vehicles with sustainability goals. The project demonstrated clear value.","The The editorial board introduced electric vehicles with strong community support, and The outreach team introduced electric vehicles with sustainability goals. The project demonstrated clear value.",phrase_level_rewrite,1.0,True
"The publishing house optimized a seasonal menu with reliable tracking systems. The automotive manufacturer scheduled a leadership seminar with expert guidance, and The bank finalized a white paper with strong community support. The effort strengthened long-term relationships.","The publishing house optimized a seasonal menu with reliable tracking systems. The automotive manufacturer scheduled a leadership seminar with expert guidance, and The bank finalized a white paper with strong community support. The effort strengthened long-term relationships.",human_like_rewrite,1.0,True
"During the annual review, The service crew approved a major report with minimal disruption. The legal team prepared the storefront layout with reliable tracking systems. This approach set a new standard.","During the annual review, The service crew approved a major report with minimal disruption. The legal team prepared the storefront layout with reliable tracking systems. This approach set a new standard.",formal_rewrite,1.0,True
"The A university research group coordinated a research study with reliable tracking systems, and The professor reviewed a major report with an expanded support network. The initiative delivered measurable benefits.","The initiative delivered measurable benefits. The A university research group coordinated a research study with reliable tracking systems, and The professor reviewed a major report with an expanded support network.",sentence_reorder,0.785,True
The editorial board approved a fundraiser with strong community support. The construction crew assigned a leadership seminar with strong community support. The results improved overall performance.,The editorial board approved a fundraiser with strong community support. The construction crew assigned a leadership seminar with strong community support. The results improved overall performance.,paragraph_pronoun_change,1.0,True
"During the client briefing, The nonprofit monitored the storefront layout with reliable tracking systems. Our marketing department approved the publishing schedule with measurable performance goals. This approach set a new standard.","During the client briefing, The nonprofit monitored the storefront layout with reliable tracking systems. Our promotion team approved the publishing schedule with measurable performance goals. This approach set a new standard.",phrase_level_rewrite,0.926,True
"The The keynote speaker redesigned the acquisition documents to enhance public trust, and The construction crew conducted a seasonal menu while preserving the budget. The final report received positive feedback.","The The keynote speaker redesigned the acquisition documents to enhance public trust, and The construction crew conducted a seasonal menu while preserving the budget. The final report received positive feedback.",human_like_rewrite,1.0,True
"The The legal team approved a wellness program with expert guidance, and The outreach team monitored shipment routes to improve operational efficiency. This approach set a new standard.","The The legal team approved a wellness program with expert guidance, and The outreach team monitored shipment routes to improve operational efficiency. This approach set a new standard.",formal_rewrite,1.0,True
"The The city council presented the acquisition documents with a strong communications plan, and The service crew prepared a seasonal menu with strong community support. The outcome exceeded expectations.","The outcome exceeded expectations. The The city council presented the acquisition documents with a strong communications plan, and The service crew prepared a seasonal menu with strong community support.",sentence_reorder,0.828,True
"The The legal team released electric vehicles with strong community support, and The executive chef reviewed a research study through an inclusive planning process. Stakeholders praised the final delivery.","The The legal team released electric vehicles with strong community support, and The executive chef reviewed a research study through an inclusive planning process. Stakeholders praised the final delivery.",paragraph_pronoun_change,1.0,True
"The The keynote speaker assigned a clinical trial using data-driven analysis, and The nonprofit reviewed the publishing schedule through an inclusive planning process. The implementation received widespread acclaim.","The The main presenter assigned a clinical trial using data-driven analysis, and The nonprofit reviewed the publishing schedule through an inclusive planning process. The implementation received widespread acclaim.",phrase_level_rewrite,0.704,True
"The automotive manufacturer introduced a new campaign through collaborative decision-making. The facilities team reviewed a research study using local resources, and The hotel manager completed a leadership seminar after careful review. The initiative delivered measurable benefits.","The automotive manufacturer introduced a new campaign through collaborative decision-making. The facilities team reviewed a research study using local resources, and The hotel manager completed a leadership seminar after careful review. The initiative delivered measurable benefits.",human_like_rewrite,1.0,True
"During the emergency meeting, The executive chef organized electric vehicles with a strong communications plan. The automotive manufacturer reviewed the power lines after careful review. Stakeholders praised the final delivery.","During the emergency meeting, The executive chef organized electric vehicles with a strong communications plan. The automotive manufacturer reviewed the power lines after careful review. Stakeholders praised the final delivery.",formal_rewrite,1.0,True
"The The construction crew launched a clinical trial with expert guidance, and The city council completed a major report through collaborative decision-making. The initiative delivered measurable benefits.","The initiative delivered measurable benefits. The The construction crew launched a clinical trial with expert guidance, and The city council completed a major report through collaborative decision-making.",sentence_reorder,0.775,True
"During the board meeting, The editorial board redesigned the regulatory submission through collaborative decision-making. The professor coordinated a green space project using local resources. The initiative delivered measurable benefits.","During the board meeting, The editorial board redesigned the regulatory submission through collaborative decision-making. The professor coordinated a green space project using local resources. The initiative delivered measurable benefits.",paragraph_pronoun_change,1.0,True
The development team redesigned a fundraiser after careful review. The automotive manufacturer finalized shipment routes with strong community support. The results improved overall performance.,The engineering staff redesigned a benefit event after careful review. The automotive manufacturer finalized shipment routes with strong community support. The results improved overall performance.,phrase_level_rewrite,0.887,True
"The The hotel manager optimized the publishing schedule while meeting compliance standards, and The executive chef reviewed a software update with a strong communications plan. The results improved overall performance.","The The hotel manager optimized the publishing schedule while meeting compliance standards, and The executive chef reviewed a software update with a strong communications plan. The results improved overall performance.",human_like_rewrite,1.0,True
"The editorial board presented the power lines using local resources. The service crew reviewed a seasonal menu using local resources, and The service crew scheduled a green space project using data-driven analysis. The final report received positive feedback.","The editorial board presented the power lines using local resources. The service crew reviewed a seasonal menu using local resources, and The service crew scheduled a green space initiative using data-driven analysis. The final report received positive response.",formal_rewrite,0.937,True
"The training team redesigned a new campaign with strong community support. The publishing house finalized an eco-friendly housing project with strong community support, and The research team reviewed a leadership seminar while preserving the budget. The outcome exceeded expectations.","The publishing house finalized an eco-friendly housing project with strong community support, and The research team reviewed a leadership seminar while preserving the budget. The outcome exceeded expectations. The training team redesigned a new campaign with strong community support.",sentence_reorder,0.736,True
"The The facilities team completed shipment routes with reliable tracking systems, and The development team introduced an eco-friendly housing project using data-driven analysis. The implementation received widespread acclaim.","The The facilities team completed shipment routes with reliable tracking systems, and The development team introduced an eco-friendly housing project using data-driven analysis. The implementation received widespread acclaim.",paragraph_pronoun_change,1.0,True
The automotive manufacturer monitored electric vehicles to improve customer satisfaction. The executive chef introduced a new campaign under tight deadlines. Stakeholders praised the final delivery.,The automotive manufacturer monitored electric vehicles to improve customer satisfaction. The head chef introduced a new campaign under tight deadlines. Stakeholders praised the final delivery.,phrase_level_rewrite,0.972,True
"The The city council conducted shipment routes supported by cross-functional teams, and The editorial board optimized the storefront layout through an inclusive planning process. The initiative delivered measurable benefits.","The The city council conducted shipment routes supported by cross-functional teams, and The editorial board optimized the storefront layout through an inclusive planning process. The initiative delivered measurable benefits.",human_like_rewrite,1.0,True
"The The executive chef launched a white paper with minimal disruption, and The research team released the power lines with an expanded support network. The outcome exceeded expectations.","The The executive chef launched a white paper with minimal disruption, and The research team released the power lines with an expanded support network. The outcome exceeded expectations.",formal_rewrite,1.0,True
"During the emergency meeting, The clinical team assigned shipment routes after careful review. The research team prepared electric vehicles using local resources. This approach set a new standard.","The research team prepared electric vehicles using local resources. This approach set a new standard. During the emergency meeting, The clinical team assigned shipment routes after careful review.",sentence_reorder,0.515,True
"The The professor completed the power lines after careful review, and The clinical team conducted the publishing schedule using data-driven analysis. The project demonstrated clear value.","The The professor completed the power lines after careful review, and The clinical team conducted the publishing schedule using data-driven analysis. The project demonstrated clear value.",paragraph_pronoun_change,1.0,True
"The hotel manager completed a major report to enhance public trust. The retail team presented electric vehicles with strong community support, and The operations staff launched a white paper with sustainability goals. The team achieved a strong outcome.","The property manager completed a major report to enhance public trust. The retail team presented electric vehicles with strong community support, and The operations staff launched a white paper with sustainability goals. The team achieved a strong outcome.",phrase_level_rewrite,0.974,True
"The The legal team monitored a green space project using local resources, and The development team conducted a white paper to improve customer satisfaction. This approach set a new standard.","The The legal team monitored a green space project using local resources, and The development team conducted a white paper to improve customer satisfaction. The following approach set a new standard.",human_like_rewrite,0.972,True
The health clinic approved the storefront layout with an expanded support network. Our marketing department organized the publishing schedule while preserving the budget. The outcome exceeded expectations.,The health clinic approved the storefront layout with an expanded support network. Our marketing department organized the publishing schedule while preserving the budget. The outcome exceeded expectations.,formal_rewrite,1.0,True
The research team emphasized a fundraiser while meeting compliance standards. The city council approved the acquisition documents under tight deadlines. The effort strengthened long-term relationships.,The city council approved the acquisition documents under tight deadlines. The effort strengthened long-term relationships. The research team emphasized a fundraiser while meeting compliance standards.,sentence_reorder,0.612,True
"The keynote speaker prepared a white paper under tight deadlines. The research team redesigned a new campaign to improve customer satisfaction, and The professor introduced a major report with a strong communications plan. Stakeholders praised the final delivery.","The keynote speaker prepared a white paper under tight deadlines. The research team redesigned a new campaign to improve customer satisfaction, and The professor introduced a major report with a strong communications plan. Stakeholders praised the final delivery.",paragraph_pronoun_change,1.0,True
"During the emergency meeting, The clinical team finalized a fundraiser with measurable performance goals. The professor launched a research study with reliable tracking systems. This approach set a new standard.","During the emergency meeting, The clinical team finalized a benefit event with measurable performance goals. The professor launched a research study with reliable tracking systems. This approach set a new standard.",phrase_level_rewrite,0.946,True
"The development team monitored a wellness program with expert guidance. The logistics provider coordinated an eco-friendly housing project using data-driven analysis, and The research team introduced a fundraiser with a strong communications plan. The project demonstrated clear value.","The development team monitored a wellness program with expert guidance. The logistics provider coordinated an eco-friendly housing project using data-driven analysis, and The research team introduced a fundraiser with a strong communications plan. The project demonstrated clear value.",human_like_rewrite,1.0,True
The construction crew prepared a white paper using data-driven analysis. The city council introduced a white paper supported by cross-functional teams. The outcome exceeded expectations.,The construction crew prepared a white paper using data-driven analysis. The city council introduced a white paper supported by cross-functional teams. The outcome exceeded expectations.,formal_rewrite,1.0,True
The construction crew presented the power lines with measurable performance goals. The professor completed a research study to improve customer satisfaction. Stakeholders praised the final delivery.,The professor completed a research study to improve customer satisfaction. Stakeholders praised the final delivery. The construction crew presented the power lines with measurable performance goals.,sentence_reorder,0.581,True
"The publishing house presented electric vehicles through collaborative decision-making. The bank assigned a white paper through collaborative decision-making, and The construction crew launched the publishing schedule while meeting compliance standards. The initiative delivered measurable benefits.","The publishing house presented electric vehicles through collaborative decision-making. The bank assigned a white paper through collaborative decision-making, and The construction crew launched the publishing schedule while meeting compliance standards. The initiative delivered measurable benefits.",paragraph_pronoun_change,1.0,True
"The The publishing house introduced a green space project with minimal disruption, and The construction crew presented a software update with sustainability goals. The results improved overall performance.","The The publishing house introduced a community park initiative with minimal disruption, and The construction crew presented a system release with sustainability goals. The results improved overall performance.",phrase_level_rewrite,0.198,True
"The Our marketing department emphasized a new campaign supported by cross-functional teams, and The facilities team released a white paper through collaborative decision-making. The results improved overall performance.","The Our marketing department emphasized a new campaign supported by cross-functional teams, and The facilities team released a white paper through collaborative decision-making. The results improved overall performance.",human_like_rewrite,1.0,True
"The city council presented a research study supported by cross-functional teams. The keynote speaker monitored shipment routes supported by cross-functional teams, and The hotel manager presented a white paper with measurable performance goals. Stakeholders praised the final delivery.","The city council presented a research study supported by cross-functional teams. The keynote speaker monitored shipment routes supported by cross-functional teams, and The hotel manager presented a white paper with measurable performance objectives. Stakeholders praised the final delivery.",formal_rewrite,0.977,True
"The The legal team approved a seasonal menu with a strong communications plan, and The legal team released shipment routes with sustainability goals. The implementation received widespread acclaim.","The implementation received widespread acclaim. The The legal team approved a seasonal menu with a strong communications plan, and The legal team released shipment routes with sustainability goals.",sentence_reorder,0.756,True
"The service crew maintained the regulatory submission while meeting compliance standards. Our marketing department optimized a white paper with expert guidance, and The bank emphasized the acquisition documents through an inclusive planning process. The team achieved a strong outcome.","The service crew maintained the regulatory submission while meeting compliance standards. their marketing department optimized a white paper with expert guidance, and The bank emphasized the acquisition documents through an inclusive planning process. The team achieved a strong outcome.",paragraph_pronoun_change,0.99,True
"The The outreach team organized a major report with expert guidance, and The construction crew conducted a research study using data-driven analysis. This approach set a new standard.","The The outreach team organized a major report with expert guidance, and The construction crew conducted a research study using data-driven analysis. This approach set a new standard.",phrase_level_rewrite,1.0,True
"During the board meeting, The training team presented the regulatory submission with sustainability goals. The executive chef scheduled electric vehicles using local resources. The effort strengthened long-term relationships.","During the board meeting, The training team presented the regulatory submission with sustainability goals. The executive chef scheduled electric vehicles using local resources. The effort strengthened long-term relationships.",human_like_rewrite,1.0,True
"During the policy rollout, The construction crew reviewed the publishing schedule with reliable tracking systems. The nonprofit monitored the storefront layout after careful review. This approach set a new standard.","During the policy rollout, The construction crew reviewed the publishing schedule with reliable tracking systems. The nonprofit monitored the storefront layout after careful review. This approach set a new standard.",formal_rewrite,1.0,True
The training team finalized a white paper to improve customer satisfaction. The health clinic redesigned the acquisition documents using local resources. The results improved overall performance.,The health clinic redesigned the acquisition documents using local resources. The results improved overall performance. The training team finalized a white paper to improve customer satisfaction.,sentence_reorder,0.61,True
"The clinical team reviewed a research study to enhance public trust. The service crew approved a seasonal menu with a strong communications plan, and The development team presented a white paper with reliable tracking systems. Stakeholders praised the final delivery.","The clinical team reviewed a research study to enhance public trust. The service crew approved a seasonal menu with a strong communications plan, and The development team presented a white paper with reliable tracking systems. Stakeholders praised the final delivery.",paragraph_pronoun_change,1.0,True
"During the policy rollout, The legal team maintained the acquisition documents while meeting compliance standards. The professor optimized the acquisition documents to improve operational efficiency. The implementation received widespread acclaim.","During the policy rollout, The legal team maintained the acquisition documents while meeting compliance standards. The professor optimized the acquisition documents to improve operational efficiency. The implementation received widespread acclaim.",phrase_level_rewrite,1.0,True
"During the product launch, The facilities team redesigned a new campaign with reliable tracking systems. The logistics provider prepared a fundraiser with a strong communications plan. Stakeholders praised the final delivery.","During the product launch, The facilities team redesigned a new campaign with reliable tracking systems. The logistics provider prepared a fundraiser with a strong communications plan. Stakeholders praised the final delivery.",human_like_rewrite,1.0,True
"The executive chef tested the acquisition documents after careful review. The training team conducted a major report while preserving the budget, and The facilities team introduced a new campaign through collaborative decision-making. The project demonstrated clear value.","The executive chef tested the acquisition documents after careful review. The training team conducted a major report while preserving the budget, and The facilities team introduced a new campaign through collaborative decision-making. The initiative demonstrated clear value.",formal_rewrite,0.969,True
"A university research group introduced a wellness program with measurable performance goals. The automotive manufacturer monitored a clinical trial under tight deadlines, and The training team redesigned a seasonal menu with measurable performance goals. Stakeholders praised the final delivery.","The automotive manufacturer monitored a clinical trial under tight deadlines, and The training team redesigned a seasonal menu with measurable performance goals. Stakeholders praised the final delivery. A university research group introduced a wellness program with measurable performance goals.",sentence_reorder,0.685,True
"The The training team redesigned a major report with expert guidance, and The retail team monitored a research study with strong community support. The effort strengthened long-term relationships.","The The training team redesigned a major report with expert guidance, and The retail team monitored a research study with strong community support. The effort strengthened long-term relationships.",paragraph_pronoun_change,1.0,True
"During the annual review, The development team coordinated a white paper with reliable tracking systems. The facilities team scheduled a wellness program with measurable performance goals. The team achieved a strong outcome.","During the annual review, The engineering staff coordinated a white paper with reliable tracking systems. The facilities team scheduled a wellness program with measurable performance goals. The team achieved a strong outcome.",phrase_level_rewrite,0.151,True
The clinical team tested the power lines after careful review. The city council presented shipment routes with minimal disruption. The effort strengthened long-term relationships.,The clinical team tested the power lines after careful review. The city council presented shipment routes with minimal disruption. The effort strengthened long-term relationships.,human_like_rewrite,1.0,True
"The logistics provider assigned a clinical trial after careful review. The bank prepared a seasonal menu with expert guidance, and The clinical team introduced the regulatory submission through collaborative decision-making. The implementation received widespread acclaim.","The logistics provider assigned a clinical trial after careful review. The bank prepared a seasonal menu with expert guidance, and The clinical team introduced the regulatory submission through collaborative decision-making. The implementation received widespread acclaim.",formal_rewrite,1.0,True
The bank approved a fundraiser to enhance public trust. The service crew reviewed shipment routes using local resources. The initiative delivered measurable benefits.,The service crew reviewed shipment routes using local resources. The initiative delivered measurable benefits. The bank approved a fundraiser to enhance public trust.,sentence_reorder,0.663,True
The clinical team reviewed an eco-friendly housing project using local resources. The nonprofit approved shipment routes after careful review. The project demonstrated clear value.,The clinical team reviewed an eco-friendly housing project using local resources. The nonprofit approved shipment routes after careful review. The project demonstrated clear value.,paragraph_pronoun_change,1.0,True
"The clinical team finalized the publishing schedule through collaborative decision-making. The operations staff scheduled a leadership seminar with reliable tracking systems, and The nonprofit conducted the regulatory submission with a strong communications plan. This approach set a new standard.","The clinical team finalized the publishing schedule through collaborative decision-making. The operations staff scheduled a leadership seminar with reliable tracking systems, and The nonprofit conducted the regulatory submission with a strong communications plan. This approach set a new standard.",phrase_level_rewrite,1.0,True
"During the emergency meeting, The facilities team introduced the power lines with a strong communications plan. The nonprofit presented shipment routes with expert guidance. The results improved overall performance.","During the emergency meeting, The facilities team introduced the power lines with a strong communications plan. The nonprofit presented shipment routes with expert guidance. The results improved overall performance.",human_like_rewrite,1.0,True
The development team released a new campaign through an inclusive planning process. The legal team presented a software update with strong community support. The team achieved a strong outcome.,The development team released a new campaign through an inclusive planning process. The legal team presented a software update with strong community support. The team achieved a strong outcome.,formal_rewrite,1.0,True
"The outreach team conducted an eco-friendly housing project with minimal disruption. The training team monitored shipment routes while meeting compliance standards, and The retail team reviewed a major report with expert guidance. The final report received positive feedback.","The training team monitored shipment routes while meeting compliance standards, and The retail team reviewed a major report with expert guidance. The final report received positive feedback. The outreach team conducted an eco-friendly housing project with minimal disruption.",sentence_reorder,0.305,True
"During the policy rollout, The development team launched a new campaign using data-driven analysis. The keynote speaker organized the power lines using local resources. The implementation received widespread acclaim.","During the policy rollout, The development team launched a new campaign using data-driven analysis. The keynote speaker organized the power lines using local resources. The implementation received widespread acclaim.",paragraph_pronoun_change,1.0,True
"The The service crew tested the regulatory submission through collaborative decision-making, and The publishing house conducted the acquisition documents with strong community support. The final report received positive feedback.","The The maintenance team tested the regulatory submission through collaborative decision-making, and The publishing house conducted the acquisition documents with strong community support. The final report received positive feedback.",phrase_level_rewrite,0.939,True
The publishing house maintained the acquisition documents while meeting compliance standards. The research team maintained a leadership seminar under tight deadlines. The initiative delivered measurable benefits.,The publishing house maintained the acquisition documents while meeting compliance standards. The research team maintained a leadership seminar under tight deadlines. The initiative delivered measurable benefits.,human_like_rewrite,1.0,True
"The retail team launched the acquisition documents with strong community support. The publishing house maintained the storefront layout through an inclusive planning process, and The training team redesigned a leadership seminar while preserving the budget. The final report received positive feedback.","The retail team launched the acquisition documents with strong community support. The publishing house maintained the storefront layout through an inclusive planning process, and The training team redesigned a leadership seminar while preserving the budget. The final report received positive response.",formal_rewrite,0.974,True
"During a community forum, The legal team optimized the storefront layout while preserving the budget. The retail team introduced a research study after careful review. Stakeholders praised the final delivery.","The retail team introduced a research study after careful review. Stakeholders praised the final delivery. During a community forum, The legal team optimized the storefront layout while preserving the budget.",sentence_reorder,0.51,True
"The The retail team reviewed a research study through an inclusive planning process, and The service crew conducted a wellness program to improve operational efficiency. The implementation received widespread acclaim.","The The retail team reviewed a research study through an inclusive planning process, and The service crew conducted a wellness program to improve operational efficiency. The implementation received widespread acclaim.",paragraph_pronoun_change,1.0,True
The construction crew prepared a clinical trial with expert guidance. The editorial board optimized shipment routes while meeting compliance standards. This approach set a new standard.,The construction crew prepared a clinical trial with expert guidance. The editorial board optimized shipment routes while meeting compliance standards. This approach set a new standard.,phrase_level_rewrite,1.0,True
